Age,Gender,Occupation,Monthly_Income
64,Male,Student,21938
33,Female,Student,62745
29,Female,Student,35696
48,Female,Retired,52804
41,Female,Working Professional,48625
31,Male,Working Professional,41707
62,Female,Working Professional,47547
42,Female,Retired,40563
51,Male,Working Professional,57273
20,Female,Student,49842
41,Female,Student,35918
59,Female,Student,63229
26,Female,Self-Employed,64860
43,Male,Self-Employed,52356
37,Male,Retired,36812
57,Male,Student,54358
27,Male,Student,64819
36,Male,Student,52252
20,Female,Retired,49047
41,Male,Retired,50719
22,Male,Self-Employed,48963
20,Female,Retired,44346
44,Male,Student,51402
33,Other,Student,40683
32,Male,Self-Employed,73949
52,Male,Self-Employed,33578
29,Female,Retired,53853
58,Female,Student,55387
61,Female,Working Professional,40666
43,Female,Retired,29080
64,Male,Student,32378
51,Female,Working Professional,67939
40,Female,Retired,50104
48,Male,Student,28374
37,Male,Student,43350
29,Female,Self-Employed,33093
40,Female,Student,65568
21,Female,Working Professional,61352
40,Male,Self-Employed,43236
18,Female,Student,77930
42,Female,Self-Employed,50804
19,Male,Self-Employed,42062
47,Male,Working Professional,27127
20,Other,Self-Employed,54055
38,Male,Working Professional,39658
42,Male,Retired,32295
37,Male,Self-Employed,69026
39,Male,Self-Employed,30970
38,Female,Working Professional,48462
50,Female,Self-Employed,63528
55,Male,Retired,39483
32,Male,Working Professional,36125
63,Female,Working Professional,53240
32,Female,Student,59796
63,Male,Student,78835
42,Male,Working Professional,69613
38,Male,Student,25298
41,Male,Self-Employed,68248
22,Female,Self-Employed,54468
23,Female,Self-Employed,49459
60,Female,Retired,61324
61,Female,Self-Employed,23284
64,Female,Retired,68780
40,Female,Self-Employed,61614
21,Male,Student,55493
44,Female,Student,18714
35,Female,Self-Employed,57123
38,Female,Student,40994
45,Male,Student,24581
52,Male,Working Professional,65206
39,Female,Working Professional,39232
57,Other,Working Professional,52813
40,Male,Working Professional,51202
20,Male,Working Professional,56176
57,Male,Retired,37443
27,Female,Working Professional,68255
42,Male,Student,59132
25,Male,Retired,44125
28,Other,Retired,52514
22,Female,Student,52148
62,Male,Student,51277
54,Male,Working Professional,59005
62,Male,Self-Employed,77149
55,Male,Student,56426
46,Female,Self-Employed,57543
22,Female,Self-Employed,42709
26,Male,Self-Employed,54086
19,Female,Self-Employed,42952
18,Male,Retired,54909
57,Male,Retired,63194
47,Male,Retired,30993
28,Female,Student,57540
45,Female,Working Professional,57980
61,Female,Student,66784
29,Female,Self-Employed,56311
56,Other,Working Professional,47732
43,Male,Student,42462
30,Male,Student,55383
25,Female,Working Professional,48756
45,Male,Self-Employed,43481
47,Female,Working Professional,65803
26,Male,Working Professional,57076
56,Male,Self-Employed,26287
48,Male,Self-Employed,61340
38,Other,Retired,75636
64,Male,Working Professional,34517
51,Male,Retired,56632
48,Female,Retired,26052
42,Female,Retired,45948
29,Female,Self-Employed,31497
18,Male,Retired,48025
39,Female,Working Professional,40335
57,Male,Self-Employed,19796
54,Male,Self-Employed,45381
64,Male,Retired,37943
18,Female,Self-Employed,53955
18,Male,Working Professional,64483
59,Female,Student,48472
59,Other,Student,50425
38,Male,Working Professional,55108
32,Female,Retired,45150
34,Female,Self-Employed,61793
39,Female,Working Professional,58409
55,Female,Retired,72614
52,Female,Retired,23618
62,Female,Retired,71264
33,Female,Working Professional,55679
25,Male,Retired,30982
64,Male,Self-Employed,51451
34,Male,Retired,53109
34,Male,Self-Employed,25500
43,Male,Retired,70337
30,Female,Student,54472
34,Male,Working Professional,48802
55,Male,Student,54790
34,Male,Working Professional,66037
31,Male,Student,30325
62,Male,Retired,32654
23,Female,Student,63833
52,Male,Working Professional,39669
63,Male,Retired,60810
31,Female,Working Professional,52337
64,Male,Self-Employed,67137
25,Other,Working Professional,40816
32,Female,Working Professional,76822
44,Male,Student,31644
30,Male,Working Professional,59717
48,Female,Retired,42374
52,Female,Student,67997
23,Male,Self-Employed,25324
22,Male,Retired,70310
39,Female,Retired,52684
40,Female,Student,49753
42,Male,Retired,54144
51,Female,Student,39886
43,Male,Retired,63383
64,Male,Retired,71806
22,Female,Student,41859
43,Female,Working Professional,57622
37,Female,Retired,60034
23,Female,Retired,44334
23,Male,Working Professional,48719
35,Male,Student,43651
21,Male,Working Professional,36950
34,Female,Working Professional,45320
31,Male,Self-Employed,18612
31,Male,Student,58276
30,Other,Retired,57304
24,Female,Working Professional,28539
61,Female,Self-Employed,22220
32,Other,Self-Employed,36724
36,Other,Working Professional,66273
60,Male,Working Professional,31132
64,Female,Self-Employed,77594
61,Female,Retired,75389
52,Male,Retired,54247
34,Female,Retired,27641
52,Female,Self-Employed,74875
36,Male,Student,51821
37,Female,Retired,26751
53,Male,Student,77902
52,Female,Student,36803
49,Male,Working Professional,62605
61,Male,Working Professional,27445
57,Female,Retired,50940
41,Female,Working Professional,66979
34,Female,Working Professional,46189
24,Female,Working Professional,33523
60,Male,Working Professional,62227
18,Male,Student,31914
52,Female,Self-Employed,53127
49,Female,Self-Employed,41549
53,Female,Self-Employed,32155
30,Female,Student,40194
23,Female,Retired,45281
31,Male,Self-Employed,50297
54,Male,Working Professional,51132
32,Other,Working Professional,42049
64,Female,Student,28046
21,Female,Retired,79643
57,Female,Retired,60072
33,Female,Working Professional,39003
45,Male,Self-Employed,31558
33,Male,Working Professional,84596
21,Male,Working Professional,50124
62,Male,Retired,68049
43,Male,Self-Employed,69927
45,Male,Working Professional,50574
49,Male,Working Professional,36367
62,Male,Student,43231
19,Male,Working Professional,85895
48,Male,Retired,40387
20,Female,Student,47760
25,Female,Working Professional,36932
41,Female,Student,68145
32,Male,Retired,22628
60,Female,Self-Employed,73434
48,Female,Student,55767
26,Male,Retired,33291
56,Female,Retired,58850
62,Male,Retired,24710
19,Female,Student,23166
25,Male,Self-Employed,34143
24,Female,Retired,65063
61,Male,Student,35270
56,Female,Retired,68539
59,Female,Self-Employed,74664
33,Male,Self-Employed,48922
52,Male,Self-Employed,52875
47,Female,Self-Employed,46431
27,Male,Retired,75385
55,Male,Self-Employed,40631
35,Male,Working Professional,55648
22,Male,Student,31983
46,Male,Working Professional,53935
56,Male,Self-Employed,70334
51,Female,Retired,71034
60,Male,Self-Employed,44372
62,Female,Self-Employed,57777
40,Male,Working Professional,39703
22,Male,Working Professional,51564
47,Male,Self-Employed,67394
23,Male,Working Professional,35004
63,Male,Working Professional,42006
61,Male,Student,54410
21,Male,Working Professional,40279
46,Male,Retired,60363
40,Female,Working Professional,57772
23,Female,Working Professional,69739
49,Female,Student,47102
59,Male,Student,55013
35,Male,Retired,47257
32,Female,Working Professional,51471
57,Other,Retired,37913
49,Female,Working Professional,46343
26,Male,Student,59299
54,Male,Retired,72460
27,Female,Self-Employed,63300
37,Male,Student,60879
23,Female,Self-Employed,53240
20,Male,Retired,35365
59,Female,Student,57302
28,Male,Retired,42624
60,Female,Working Professional,47336
34,Female,Working Professional,37201
49,Male,Working Professional,55236
21,Female,Retired,53059
21,Female,Self-Employed,57201
34,Male,Self-Employed,53861
58,Male,Retired,60546
36,Female,Student,60016
22,Female,Self-Employed,70399
49,Female,Working Professional,55866
39,Male,Self-Employed,56692
23,Male,Working Professional,54969
52,Male,Student,42808
39,Female,Self-Employed,24530
18,Male,Retired,70300
37,Male,Working Professional,64580
39,Female,Working Professional,23969
28,Male,Working Professional,79143
30,Male,Retired,73271
59,Female,Student,50934
20,Female,Self-Employed,36403
26,Male,Retired,31681
29,Female,Self-Employed,44042
40,Female,Self-Employed,30029
31,Female,Working Professional,62489
50,Male,Student,49169
35,Female,Self-Employed,70436
58,Female,Self-Employed,66143
26,Female,Student,60267
40,Female,Retired,64555
27,Male,Student,51817
36,Female,Retired,48434
64,Female,Self-Employed,31324
22,Female,Retired,26194
64,Male,Self-Employed,48283
40,Female,Self-Employed,55909
47,Female,Working Professional,36421
42,Male,Self-Employed,48766
45,Male,Working Professional,88023
51,Female,Student,34895
62,Other,Self-Employed,10065
64,Male,Working Professional,58572
42,Female,Working Professional,47319
27,Male,Working Professional,39831
31,Male,Working Professional,30676
59,Female,Self-Employed,60896
63,Female,Self-Employed,76922
47,Male,Working Professional,44990
58,Female,Student,50679
42,Female,Working Professional,29864
31,Female,Self-Employed,47159
52,Male,Working Professional,51040
51,Female,Student,81287
27,Male,Student,46644
52,Female,Student,72862
28,Female,Retired,24868
28,Female,Retired,51287
38,Male,Self-Employed,41261
38,Female,Student,79974
39,Male,Self-Employed,33973
62,Male,Student,51606
24,Female,Retired,35916
34,Female,Retired,51335
19,Male,Self-Employed,17970
29,Female,Self-Employed,33972
59,Female,Self-Employed,42171
35,Female,Working Professional,39213
28,Male,Self-Employed,24686
33,Female,Retired,54357
35,Female,Retired,59746
52,Female,Retired,64333
43,Female,Self-Employed,45265
33,Other,Student,40648
23,Male,Retired,45213
61,Male,Student,67746
60,Female,Retired,53229
64,Female,Retired,37065
64,Female,Student,55881
59,Male,Retired,59774
29,Female,Self-Employed,35774
30,Male,Working Professional,39452
21,Female,Working Professional,22947
56,Male,Retired,19302
19,Male,Student,27256
43,Male,Retired,32260
44,Female,Self-Employed,51588
44,Female,Self-Employed,77978
32,Female,Retired,34713
25,Female,Self-Employed,67477
24,Male,Retired,65768
64,Male,Student,78701
63,Male,Retired,51769
57,Female,Retired,48654
29,Male,Retired,72419
30,Female,Student,41054
60,Other,Retired,32573
34,Male,Student,63424
34,Male,Working Professional,36251
53,Male,Working Professional,40967
38,Male,Self-Employed,100342
25,Female,Working Professional,51080
22,Female,Student,37736
43,Female,Working Professional,46987
33,Female,Self-Employed,66943
53,Male,Student,51279
45,Male,Working Professional,42247
46,Male,Working Professional,59144
64,Male,Student,12593
29,Female,Working Professional,55901
54,Other,Self-Employed,45059
47,Female,Retired,61255
40,Male,Self-Employed,59695
33,Male,Working Professional,65840
31,Male,Self-Employed,59906
27,Male,Working Professional,21034
24,Other,Student,61928
62,Male,Self-Employed,67382
54,Female,Self-Employed,40281
46,Female,Retired,54257
20,Female,Retired,42310
32,Male,Retired,46779
53,Male,Retired,49100
64,Female,Working Professional,70601
63,Male,Student,48004
36,Male,Working Professional,39279
30,Male,Working Professional,64306
59,Male,Self-Employed,38137
38,Male,Working Professional,61258
54,Male,Working Professional,79217
44,Male,Retired,50345
46,Male,Retired,28114
37,Female,Student,52077
42,Female,Working Professional,38124
23,Male,Working Professional,47154
53,Male,Student,44212
19,Female,Self-Employed,34064
39,Male,Retired,64252
49,Other,Self-Employed,33031
33,Female,Retired,43027
35,Male,Student,43379
22,Female,Retired,29714
53,Male,Student,29770
47,Female,Working Professional,87894
62,Female,Self-Employed,59619
36,Male,Student,47062
40,Male,Working Professional,53245
51,Female,Retired,39263
30,Male,Self-Employed,52184
60,Female,Retired,56711
46,Female,Retired,50287
53,Male,Self-Employed,67895
39,Male,Retired,37092
64,Female,Student,62062
53,Female,Student,56019
26,Female,Self-Employed,71606
56,Male,Working Professional,59629
36,Male,Working Professional,23752
55,Female,Student,54154
23,Female,Retired,41213
64,Male,Self-Employed,40162
32,Female,Self-Employed,32227
37,Male,Retired,19327
26,Male,Retired,35844
49,Male,Student,45791
21,Male,Working Professional,51939
35,Male,Working Professional,52403
22,Male,Retired,29030
37,Female,Retired,26580
40,Female,Retired,54374
28,Male,Student,52429
54,Female,Working Professional,56127
39,Female,Self-Employed,59169
21,Female,Retired,39391
46,Other,Self-Employed,40821
61,Male,Student,69868
51,Female,Retired,56465
30,Male,Self-Employed,35133
59,Male,Student,57307
26,Female,Retired,33623
59,Female,Student,60531
48,Male,Self-Employed,51453
24,Female,Working Professional,37259
21,Male,Retired,23321
36,Female,Self-Employed,70440
59,Male,Self-Employed,45628
47,Female,Working Professional,78552
48,Female,Self-Employed,52063
52,Male,Working Professional,72580
38,Male,Self-Employed,71900
48,Female,Student,47341
36,Male,Working Professional,41328
48,Male,Working Professional,26883
49,Male,Student,58027
19,Other,Retired,43610
27,Female,Self-Employed,37166
19,Male,Retired,29286
19,Male,Student,45549
41,Male,Self-Employed,31661
34,Male,Student,34022
49,Male,Self-Employed,47455
33,Female,Retired,47009
33,Female,Working Professional,60812
63,Female,Student,54614
56,Female,Working Professional,66557
48,Female,Student,23750
60,Female,Working Professional,40151
41,Male,Retired,57614
18,Female,Working Professional,51255
28,Female,Working Professional,39776
38,Female,Retired,47097
21,Male,Student,65671
24,Male,Student,42211
43,Male,Student,30312
64,Female,Retired,52204
29,Male,Working Professional,55805
48,Male,Working Professional,60998
34,Male,Self-Employed,55165
50,Male,Self-Employed,41916
28,Male,Working Professional,31100
45,Other,Self-Employed,54824
49,Male,Self-Employed,74437
18,Male,Working Professional,16462
64,Female,Student,43411
45,Female,Retired,58525
59,Female,Working Professional,70576
24,Other,Retired,50842
19,Male,Retired,58588
59,Female,Self-Employed,66429
41,Female,Self-Employed,67764
21,Male,Working Professional,46280
61,Female,Self-Employed,45486
36,Male,Student,69511
43,Male,Self-Employed,57671
28,Female,Student,37184
57,Female,Student,37347
60,Male,Self-Employed,40271
28,Female,Retired,74540
62,Female,Self-Employed,40144
20,Male,Self-Employed,52430
29,Male,Working Professional,35524
20,Female,Retired,10240
59,Female,Retired,57943
44,Male,Self-Employed,69151
19,Female,Retired,67461
33,Male,Student,44671
19,Male,Working Professional,47680
47,Female,Working Professional,59127
37,Female,Retired,56202
55,Male,Retired,56286
45,Female,Retired,84613
42,Female,Self-Employed,33178
49,Male,Student,49435
27,Male,Self-Employed,39610
59,Female,Self-Employed,49234
57,Female,Working Professional,46722
50,Male,Self-Employed,30190
30,Male,Student,66807
58,Male,Student,44222
59,Female,Self-Employed,59478
64,Male,Self-Employed,81787
54,Male,Retired,49710
33,Female,Self-Employed,42154
62,Other,Retired,67818
39,Male,Retired,32132
37,Female,Retired,56461
60,Male,Student,53952
44,Female,Student,39574
58,Female,Self-Employed,46825
33,Female,Retired,43981
51,Male,Working Professional,20865
49,Female,Working Professional,42245
43,Other,Student,52463
42,Female,Working Professional,37500
19,Male,Student,58622
29,Male,Retired,52939
57,Female,Self-Employed,38778
26,Male,Self-Employed,57993
29,Male,Student,40103
43,Female,Retired,55582
26,Female,Student,63491
27,Female,Student,44160
49,Male,Student,69753
51,Male,Retired,38871
37,Female,Working Professional,56185
56,Female,Student,61482
19,Female,Working Professional,20635
18,Male,Working Professional,44341
53,Female,Working Professional,39176
41,Female,Student,54583
44,Male,Student,54036
19,Female,Self-Employed,62333
48,Female,Self-Employed,64604
31,Male,Self-Employed,61565
19,Male,Retired,46481
46,Male,Retired,51237
32,Female,Working Professional,40205
29,Female,Working Professional,81070
54,Male,Retired,64759
45,Female,Retired,35068
37,Female,Student,78660
56,Female,Retired,59753
41,Female,Retired,41208
38,Female,Self-Employed,31497
27,Male,Retired,33910
63,Male,Retired,53574
31,Female,Student,94788
54,Male,Retired,48500
35,Male,Retired,41285
41,Male,Self-Employed,51326
31,Female,Self-Employed,64047
51,Female,Working Professional,65205
29,Female,Student,63554
39,Female,Self-Employed,66458
23,Male,Working Professional,42837
53,Female,Student,56848
62,Female,Working Professional,60144
53,Male,Self-Employed,41536
39,Female,Retired,59777
31,Male,Working Professional,32622
33,Female,Retired,69091
53,Female,Self-Employed,55285
42,Male,Working Professional,59629
49,Male,Working Professional,41260
50,Female,Retired,44850
62,Male,Working Professional,52206
53,Female,Working Professional,81857
37,Male,Student,57850
35,Male,Student,59078
55,Male,Student,24076
20,Female,Self-Employed,70560
40,Female,Retired,68005
49,Male,Working Professional,37719
62,Female,Student,46990
33,Male,Student,58147
22,Male,Retired,29062
21,Male,Retired,51958
38,Male,Working Professional,74234
57,Male,Working Professional,50212
31,Male,Working Professional,52553
56,Female,Self-Employed,43535
48,Female,Student,45992
31,Female,Working Professional,61189
23,Male,Student,46276
29,Female,Working Professional,74499
33,Female,Working Professional,31735
34,Male,Working Professional,48272
62,Male,Self-Employed,41883
40,Female,Retired,71417
31,Male,Self-Employed,32405
24,Female,Student,36032
63,Female,Retired,39498
49,Female,Retired,58134
32,Female,Student,32524
61,Female,Student,47583
34,Female,Working Professional,41609
58,Male,Working Professional,45832
64,Male,Self-Employed,50073
61,Male,Self-Employed,38422
51,Male,Working Professional,59523
22,Male,Retired,67484
62,Male,Self-Employed,52470
44,Female,Working Professional,28984
40,Other,Self-Employed,38147
57,Female,Self-Employed,58536
31,Female,Self-Employed,48477
32,Male,Student,63104
60,Male,Working Professional,62020
50,Female,Working Professional,57221
48,Female,Retired,37949
52,Male,Student,56414
34,Female,Retired,72136
45,Other,Retired,62448
36,Other,Retired,30539
63,Male,Working Professional,35125
40,Male,Self-Employed,50871
49,Male,Working Professional,55767
57,Female,Self-Employed,59697
30,Female,Student,62861
37,Female,Student,41794
52,Male,Student,48906
22,Male,Retired,60202
26,Female,Student,46058
46,Female,Self-Employed,35215
23,Male,Self-Employed,77095
42,Female,Student,63239
48,Female,Student,38847
39,Female,Retired,49438
19,Male,Working Professional,41599
62,Female,Student,68702
22,Male,Student,84691
44,Female,Working Professional,46026
42,Male,Self-Employed,51718
25,Female,Working Professional,42436
18,Male,Student,48311
37,Female,Self-Employed,38301
61,Female,Self-Employed,27415
40,Male,Retired,69988
49,Male,Student,54715
28,Female,Retired,39126
56,Female,Self-Employed,53977
64,Female,Retired,44972
41,Male,Retired,69086
28,Male,Retired,16722
46,Male,Student,20371
43,Female,Working Professional,46151
33,Male,Retired,84526
52,Female,Working Professional,51422
37,Female,Student,38239
63,Female,Student,60242
20,Male,Retired,62815
18,Male,Student,54049
64,Male,Retired,25277
18,Male,Retired,48421
34,Female,Retired,44155
19,Male,Student,45615
46,Female,Retired,45076
37,Female,Student,67223
23,Female,Self-Employed,38726
25,Female,Self-Employed,53216
46,Male,Retired,43200
50,Male,Working Professional,57858
20,Male,Retired,62806
52,Other,Working Professional,38018
22,Female,Self-Employed,24573
44,Female,Self-Employed,66403
61,Male,Working Professional,61757
29,Male,Retired,50813
37,Male,Retired,55988
62,Male,Retired,72985
37,Female,Working Professional,75987
26,Female,Self-Employed,48831
56,Male,Self-Employed,40028
21,Female,Retired,44747
36,Female,Working Professional,60726
55,Female,Student,52711
44,Male,Student,15857
62,Female,Student,24484
60,Female,Retired,78354
30,Female,Self-Employed,46957
30,Female,Student,52472
39,Male,Student,29949
45,Female,Self-Employed,64452
64,Male,Retired,49394
62,Female,Working Professional,73623
39,Female,Working Professional,65589
60,Female,Self-Employed,61353
36,Male,Working Professional,78280
25,Male,Student,79236
25,Female,Self-Employed,47908
59,Male,Student,44555
43,Male,Self-Employed,52347
43,Male,Student,46080
40,Male,Self-Employed,43942
60,Male,Student,21871
30,Male,Student,50379
45,Male,Working Professional,55239
26,Male,Student,80659
37,Female,Self-Employed,65433
36,Female,Self-Employed,35590
56,Female,Student,40519
29,Female,Retired,52255
32,Female,Self-Employed,41880
48,Male,Working Professional,71969
31,Female,Working Professional,54848
28,Male,Working Professional,31651
43,Male,Student,67689
59,Other,Retired,40996
44,Female,Student,48419
28,Male,Self-Employed,48297
55,Female,Retired,51329
51,Male,Self-Employed,49207
60,Female,Working Professional,62375
36,Female,Working Professional,53995
23,Female,Retired,45825
63,Male,Working Professional,61914
55,Female,Self-Employed,55184
59,Male,Self-Employed,48475
45,Male,Working Professional,41128
18,Female,Self-Employed,51307
52,Male,Working Professional,33728
57,Male,Self-Employed,62380
25,Female,Retired,45504
64,Male,Working Professional,54759
24,Male,Student,52339
28,Male,Retired,61278
56,Male,Student,63608
21,Female,Retired,62775
42,Female,Self-Employed,77417
29,Female,Student,41766
43,Female,Working Professional,65406
55,Female,Retired,31745
63,Female,Retired,46255
29,Female,Retired,41845
60,Female,Student,52188
54,Male,Retired,68143
63,Female,Student,64022
41,Male,Student,51269
33,Male,Working Professional,44528
30,Male,Retired,60223
42,Female,Retired,27794
21,Female,Student,41649
28,Male,Working Professional,58445
49,Female,Student,55161
24,Male,Retired,41218
63,Male,Student,64234
28,Female,Student,61291
45,Female,Student,42467
58,Female,Working Professional,20209
40,Female,Student,46827
62,Male,Retired,54787
40,Female,Student,27797
45,Male,Retired,51128
60,Female,Self-Employed,73691
64,Male,Retired,36396
43,Female,Working Professional,30071
42,Male,Self-Employed,52659
46,Other,Working Professional,71250
36,Male,Self-Employed,54636
50,Female,Working Professional,46440
53,Female,Retired,49081
31,Male,Working Professional,57939
31,Female,Working Professional,56205
52,Other,Self-Employed,86429
47,Male,Retired,47546
45,Male,Student,38098
34,Female,Retired,46181
20,Female,Student,30494
33,Female,Retired,39156
63,Female,Student,12400
47,Male,Working Professional,58644
46,Male,Student,29000
62,Female,Retired,35502
32,Male,Retired,54825
63,Female,Working Professional,22530
42,Male,Student,43973
55,Female,Working Professional,59192
59,Female,Working Professional,44171
64,Male,Working Professional,61492
55,Male,Self-Employed,54900
40,Male,Retired,54865
42,Male,Retired,41824
59,Female,Working Professional,71521
24,Male,Student,44327
39,Male,Self-Employed,64615
34,Male,Retired,69810
35,Female,Retired,58362
58,Female,Student,62460
27,Male,Self-Employed,44075
27,Female,Working Professional,62854
24,Male,Self-Employed,43792
55,Male,Working Professional,55712
44,Male,Student,44046
50,Female,Working Professional,33611
18,Female,Working Professional,33624
61,Female,Retired,48635
51,Male,Student,94425
21,Male,Self-Employed,37816
34,Female,Student,61801
21,Female,Working Professional,55562
60,Male,Self-Employed,54540
43,Female,Self-Employed,63362
21,Female,Self-Employed,79069
18,Female,Student,26745
24,Female,Student,18321
47,Female,Self-Employed,47382
26,Female,Retired,37445
52,Male,Self-Employed,36977
25,Male,Retired,30433
41,Male,Self-Employed,65420
36,Female,Working Professional,66456
53,Male,Self-Employed,65434
60,Male,Working Professional,37207
44,Female,Student,32469
49,Female,Self-Employed,50249
31,Female,Working Professional,60616
35,Male,Retired,63267
45,Male,Retired,66158
46,Female,Student,54616
33,Male,Working Professional,51367
52,Female,Retired,42773
64,Male,Student,86133
48,Male,Student,73540
21,Male,Student,52589
54,Male,Retired,37873
34,Male,Self-Employed,46889
56,Female,Retired,42338
63,Male,Working Professional,67757
43,Female,Working Professional,67772
56,Female,Student,47569
58,Female,Working Professional,81467
21,Female,Self-Employed,39777
47,Male,Student,61517
47,Female,Self-Employed,50441
39,Male,Student,8000
28,Female,Retired,78098
19,Male,Student,30672
61,Female,Working Professional,23801
29,Female,Self-Employed,54283
47,Male,Self-Employed,68214
53,Male,Self-Employed,57562
35,Other,Working Professional,44507
43,Male,Student,62173
24,Male,Self-Employed,49999
18,Female,Retired,61182
43,Female,Student,41072
40,Female,Working Professional,35384
43,Female,Retired,39974
62,Male,Retired,63288
23,Female,Working Professional,54353
23,Male,Working Professional,25996
61,Male,Working Professional,61234
25,Female,Retired,78116
41,Male,Student,38158
39,Male,Retired,50628
36,Male,Self-Employed,72143
54,Female,Working Professional,49549
35,Female,Working Professional,42001
48,Male,Retired,72292
54,Other,Student,29956
47,Male,Self-Employed,59081
59,Other,Retired,50215
50,Female,Self-Employed,35057
27,Female,Student,60104
54,Male,Student,56637
29,Male,Working Professional,56106
47,Female,Self-Employed,54415
44,Female,Self-Employed,45292
56,Male,Self-Employed,83795
26,Female,Working Professional,62442
38,Female,Self-Employed,40314
29,Male,Student,60679
46,Male,Student,52262
50,Female,Retired,76527
60,Male,Retired,27321
32,Female,Retired,46458
19,Male,Student,55586
56,Female,Self-Employed,82600
61,Male,Retired,71765
35,Male,Self-Employed,28534
20,Male,Retired,74175
24,Male,Retired,29649
60,Male,Self-Employed,73934
35,Female,Self-Employed,40908
61,Male,Student,51565
55,Male,Student,61528
54,Female,Student,59177
50,Female,Working Professional,36985
61,Female,Retired,55254
48,Male,Self-Employed,44339
28,Female,Self-Employed,64155
21,Female,Student,35855
35,Male,Working Professional,21102
21,Female,Retired,43694
51,Male,Student,44088
46,Female,Working Professional,61445
41,Male,Working Professional,40452
39,Other,Retired,47753
19,Female,Self-Employed,67495
61,Female,Self-Employed,31968
23,Female,Retired,22480
59,Female,Student,38651
42,Female,Retired,68577
38,Female,Student,46731
33,Male,Retired,56881
48,Male,Self-Employed,30334
31,Female,Student,35486
56,Female,Retired,34006
45,Male,Retired,58058
49,Female,Student,62776
45,Male,Self-Employed,44370
26,Female,Student,58552
62,Male,Self-Employed,82576
39,Male,Retired,40380
49,Female,Working Professional,48223
22,Male,Self-Employed,54086
40,Male,Self-Employed,41820
22,Male,Self-Employed,64695
59,Female,Working Professional,51720
49,Male,Student,60287
27,Female,Retired,12909
56,Female,Self-Employed,28861
32,Female,Working Professional,51577
24,Female,Working Professional,74477
46,Other,Self-Employed,58899
64,Female,Working Professional,60901
20,Female,Retired,62849
36,Male,Student,37783
27,Female,Student,53596
45,Male,Working Professional,77214
46,Male,Self-Employed,72629
32,Male,Retired,58548
52,Male,Student,65133
23,Male,Retired,70164
29,Female,Student,53392
64,Female,Self-Employed,30575
55,Female,Retired,45755
30,Male,Working Professional,68134
46,Female,Working Professional,52197
36,Male,Student,54405
20,Male,Self-Employed,43136
25,Male,Self-Employed,60742
25,Female,Retired,38627
37,Male,Self-Employed,44825
64,Female,Working Professional,60541
21,Female,Self-Employed,48459
38,Male,Retired,64794
20,Male,Self-Employed,16941
62,Female,Working Professional,27434
25,Female,Student,46016
40,Other,Retired,61323
33,Male,Self-Employed,59151
30,Male,Self-Employed,40100
20,Male,Retired,70009
26,Female,Retired,49344
31,Male,Working Professional,27503
30,Female,Retired,68069
24,Female,Working Professional,44770
32,Male,Student,39362
24,Male,Student,62095
55,Male,Self-Employed,35410
51,Female,Working Professional,42479
58,Male,Retired,27440
39,Female,Self-Employed,31056
41,Male,Self-Employed,69922
54,Female,Self-Employed,30535
61,Female,Self-Employed,39245
18,Female,Student,23091
27,Female,Working Professional,63453
60,Male,Working Professional,50224
33,Male,Retired,34622
63,Male,Student,53959
25,Female,Self-Employed,35878
42,Female,Retired,27394
29,Female,Retired,70621
42,Male,Working Professional,64227
34,Other,Retired,67297
43,Female,Working Professional,78824
63,Male,Self-Employed,11685
31,Male,Retired,41433
58,Female,Retired,30521
53,Female,Working Professional,56410
40,Male,Working Professional,48212
60,Male,Self-Employed,57424
23,Female,Student,49690
64,Other,Self-Employed,79057
22,Female,Retired,56025
60,Male,Retired,61295
42,Male,Self-Employed,58241
35,Female,Self-Employed,54497
30,Female,Working Professional,61221
60,Male,Working Professional,78266
31,Male,Self-Employed,53853
45,Female,Student,50136
35,Male,Student,53204
45,Female,Student,37512
44,Male,Student,51766
49,Male,Working Professional,39314
64,Female,Working Professional,50040
26,Male,Self-Employed,83771
57,Other,Retired,49650
49,Female,Self-Employed,82160
37,Female,Self-Employed,48491
45,Male,Student,44995
50,Male,Self-Employed,31364
21,Male,Working Professional,42767
63,Other,Self-Employed,65560
51,Male,Student,48299
20,Male,Retired,52841
43,Male,Student,44756
25,Female,Self-Employed,37486
23,Male,Self-Employed,26989
33,Male,Self-Employed,31046
41,Male,Working Professional,62774
56,Female,Working Professional,45826
47,Female,Student,42025
62,Male,Student,64069
30,Female,Self-Employed,27640
22,Male,Student,26652
42,Female,Retired,52793
37,Male,Student,46316
35,Male,Retired,25630
64,Male,Working Professional,58026
35,Female,Student,66453
19,Male,Self-Employed,22587
27,Female,Working Professional,37378
62,Male,Retired,49020
64,Male,Self-Employed,30402
29,Other,Retired,34527
64,Male,Student,34747
30,Male,Retired,65603
64,Male,Student,52575
28,Female,Working Professional,61380
36,Male,Student,43797
52,Female,Working Professional,31525
56,Female,Self-Employed,57328
43,Male,Student,42659
63,Male,Retired,74161
31,Female,Self-Employed,59626
62,Male,Working Professional,57066
61,Male,Retired,50557
41,Female,Retired,43778
58,Female,Student,42731
18,Female,Retired,27780
60,Female,Working Professional,46836
39,Female,Student,42515
40,Male,Student,45949
36,Female,Student,68380
35,Female,Working Professional,49696
29,Male,Self-Employed,26168
45,Male,Retired,65324
45,Female,Student,47986
